profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_statement,33,2,4,2,,,,,,50,12750.0,77107.51748896459,189.63965976604834,76746.04462716631,77490.78170053859,76959.841954023,1300.8455719053738,1353.7525216925492,77162.33905882353,75134.21052631579,80771.19142857143,0.017556686634170197
shakedown,zswap_memo_statement,61,2,4,2,,,,,,50,14025.0,76367.18793839871,149.42392960153336,76088.41569824911,76674.11961254463,75969.21363636364,791.3689808264253,1065.0633993398512,76119.38521734526,75292.72727272728,79437.6694214876,0.013946610161932117
shakedown,zswap_memo_statement,62,2,4,2,,,,,,50,14025.0,76478.84226441951,186.2210171803591,76128.95456539106,76857.75524512347,76007.14646464647,1069.357360822288,1329.6366622448672,76737.54104939906,75128.03636363636,79561.95779220779,0.01738567978902916
shakedown,zswap_memo_statement,63,3,5,3,,,,,,50,11475.0,93941.75565855892,1184.253431002846,91858.07404335639,96479.003181786,90448.50793650793,1920.703876028876,8480.085242784047,94272.89093379927,88654.63333333333,129120.33333333333,0.09026960570766634
shakedown,zswap_memo_statement,64,3,5,3,,,,,,50,12750.0,87026.45069755806,405.9485035438416,86374.25862088137,87938.87472977981,86090.14126344086,979.4135607761971,2909.1607271734947,87521.6764635993,85026.05,104453.9205882353,0.03342846575788394
shakedown,zswap_memo_statement,92,3,5,3,,,,,,50,11475.0,90045.2942324326,642.5820245238119,89026.43110546077,91495.2898499812,89130.6231617647,1386.0733353559017,4563.392903006127,88497.01079143208,86373.48979591837,117852.27272727272,0.05067886047689186
shakedown,zswap_memo_statement,93,3,5,3,,,,,,50,11475.0,87589.13388401162,338.66215041853616,86997.01609209555,88320.55436966408,86691.40112721417,894.5328270481642,2416.9047063031326,88105.39688345305,85488.341563786,99635.29012345678,0.02759365915758085
shakedown,zswap_memo_statement,94,4,6,3,,,,,,50,11475.0,87884.60725867147,226.72690944149613,87455.18307121507,88342.30625522637,87137.00396825396,1081.8920307925666,1620.7450496810104,87521.35550378567,86119.13580246913,92070.67777777778,0.018441739688392286
shakedown,zswap_memo_statement,124,4,6,3,,,,,,50,11475.0,86855.02123704081,125.69286404961208,86620.51829617811,87111.86454078654,86592.78833333333,592.2638504517616,896.386631655536,86897.31650035591,85666.16049382716,89142.96222222222,0.010320492918989196
shakedown,zswap_memo_statement,125,5,7,4,,,,,,50,10200.0,104408.50667809907,1573.77553039394,102140.77968497472,108001.36622477017,101395.53125,2434.0585067868233,11215.740359438141,102725.46240535818,98693.13175675676,177487.17307692306,0.10742171032114547
shakedown,zswap_memo_statement,186,6,8,4,,,,,,50,10200.0,99272.28639302324,313.9965973149201,98706.94479932539,99926.96023440559,98545.11322580645,1345.4557282993358,2251.728561690831,99744.93822073383,97135.15625,106986.82142857143,0.022682348150783405
shakedown,zswap_memo_statement,187,7,9,5,,,,,,50,10200.0,109204.07656573795,281.0495943397252,108687.343855078,109785.57263986683,108653.45039868668,1301.6089631690006,2005.6977549010655,109754.12390215493,106590.625,116998.01785714286,0.018366509914066156
shakedown,zswap_memo_statement,255,9,11,6,,,,,,50,8925.0,120773.90610842661,404.17066145246093,120025.23166059586,121602.3628365781,119643.53275613274,1823.1864704891125,2878.2904378291546,121158.24466261752,117360.14285714286,130661.23949579832,0.02383205553727082
shakedown,zswap_memo_statement,256,9,11,6,,,,,,50,8925.0,120358.19185406185,247.82302396461276,119904.74176571099,120876.96433235354,120157.64529724934,1445.756501649943,1775.4290536235392,120706.3414793244,117779.74285714286,128156.75,0.014751210750792132
shakedown,zswap_memo_statement,310,10,12,6,,,,,,50,8925.0,122289.40642604079,541.3753681519609,121334.21082719101,123441.8364333095,121281.16071428571,1413.923530731181,3866.368618618881,121344.66490057409,117571.42857142857,139747.20168067227,0.03161654579587166
shakedown,zswap_memo_statement,311,11,13,7,,,,,,50,7650.0,165630.29959777562,9975.648444454706,148498.97424573443,187411.4133284134,142083.45952380952,6315.221829310962,70980.04560626857,147057.65827218015,130552.57142857143,484979.1666666667,0.42854505352365985
shakedown,zswap_memo_statement,496,16,18,9,,,,,,50,6375.0,152367.905713076,288.63442783907516,151842.4208961729,152966.96009943876,151653.7111111111,887.603140309551,2056.197257700273,151764.392885265,150502.53913043477,160008.2,0.013494949924509022
shakedown,zswap_memo_statement,497,17,19,10,,,,,,50,6375.0,166055.14669011434,361.9900921649525,165370.13843232935,166785.7642337512,165859.5711759505,2414.181077139711,2587.9359905218444,165050.6239580664,160993.29268292684,174928.84615384616,0.01558479843657812
shakedown,zswap_memo_statement,511,17,19,10,,,,,,50,6375.0,168065.34575101224,643.4597168455374,167026.90996554494,169501.6107848578,167391.28578947368,1771.2022204125942,4589.444437984437,168278.38347815958,163467.06666666668,195452.22,0.027307500052888182
shakedown,zswap_memo_statement,512,17,19,10,,,,,,50,6375.0,177041.17144557915,615.9152572408983,175946.12683481086,178353.09900963702,177069.03,1768.0937488600762,4406.406245049226,175461.59604892254,170199.664,199029.1,0.024889161142970153
shakedown,zswap_memo_validation,0,,,,0,1,,,,50,450.0,2571525.9333333336,28432.045082421977,2518734.606,2630406.817333333,2510368.0555555555,129823.6195951699,202775.70230629342,,2314699.111111111,3266013.888888889,0.07885423190869631
shakedown,zswap_memo_validation,512,,,,1,0,,,,50,350.0,3412880.5857142853,81842.96930016899,3261308.9692857144,3581451.910142858,3314330.3571428573,537213.0051625627,582429.451162496,,2747250.0,5336029.857142857,0.1706562642714318
